name,restarts_per_day,active_min_s,active_max_s_per_day,inactive_min_s,inactive_max_s_per_day,pn_00,eta_00,eta_th_00,pn_01,eta_01,eta_th_01,pn_02,eta_02,eta_th_02,pn_03,eta_03,eta_th_03,pn_04,eta_04,eta_th_04,pn_05,eta_05,eta_th_05
1g_40kw,0,0,64800,3600,0,20.0,28.0,31.4,40.0,30.0,32.0,,,,,,,,,,,,
1g_80kw,5,0,64800,3600,0,40,37.0,32.4,80.0,36.7,32.0,,,,,,,,,,,,
1g_320kw,0,10800,0,3600,0,160,36.6,31.0,240,37.0,31.5,320,37.5,31.9,,,,,,,,,
1g_550kw,0,10800,0,3600,0,275.0,31.6,41.0,330,31.8,42.1,440,32.0,43.2,550,32.2,44.2,,,,,,
1g_373kw,6,10800,0,3600,0,121,33.7,45.0,252,36.2,46.0,373,37.9,47.8,,,,,,,,,
1g_1250kw,4,0,0,0,0,750,37.0,48.0,1250,41.25,44.0,,,,,,,,,,,,
2g_55kw_1,0,3600,0,0,0,9.0,29.3,35.4,18.0,28.7,36.1,,,,,,,,,,,,
2g_55kw_2,0,10800,0,3600,0,18.5,31.4,36.1,37.0,32.5,36.8,,,,,,,,,,,,
2g_110kw_1,6,3600,0,0,0,27.5,29.7,36.4,55.0,31.9,37.0,,,,,,,,,,,,
2g_110kw_2,6,3600,0,0,0,18.3,30.8,36.1,36.6,32.2,36.8,55.0,33.9,38.0,,,,,,,,,
2g_220kw_1,6,10800,0,0,0,55.0,35.4,31.4,110.0,34.7,31.0,,,,,,,,,,,,
2g_220kw_2,6,10800,0,0,0,55.0,35.5,38.0,110.0,36.1,42.4,,,,,,,,,,,,
2g_300kw_1,6,10800,0,7200,0,75.0,31.1,30.8,150.0,32.4,31.2,,,,,,,,,,,,
2g_300kw_2,6,10800,0,7200,0,75.0,33.0,30.0,150.0,33.2,30.5,,,,,,,,,,,,
2g_320kw_1,6,10800,0,0,0,40.0,31.1,30.8,80.0,32.2,31.2,120.0,33.3,32.3,160.0,34.4,32.3,,,,,,
2g_320kw_2,6,10800,0,0,0,85.0,32.2,30.0,110.0,33.0,30.5,135.0,33.8,31.0,160.0,34.6,31.5,,,,,,
2g_2050kw_1,4,0,57600,7200,0,700.0,37.0,40.0,1150.0,44.0,44.0,,,,,,,,,,,,
2g_2050kw_2,4,0,57600,7200,0,600.0,37.0,42.0,900.0,40.0,43.0,,,,,,,,,,,,
3g_555kw_1,0,10800,64800,3600,0,125.0,31.2,42.0,250.0,34.7,45.9,,,,,,,,,,,,
3g_555kw_2,0,10800,64800,3600,0,125.0,34.3,41.9,250.0,36.1,43.0,,,,,,,,,,,,
3g_555kw_3,0,7200,64800,3600,0,27.5,28.6,35.1,55.0,30.0,36.1,,,,,,,,,,,,
3g_1500kw_1,0,10800,0,3600,0,125.0,26.1,50.0,250.0,27.0,50.2,375.0,27.3,50.5,500.0,28.0,50.9,625.0,27.7,51.0,750.0,27.5,52.1
3g_1500kw_2,0,3600,0,0,0,330.0,27.9,45.9,440.0,28.5,47.3,550.0,29.1,51.0,,,,,,,,,
3g_1500kw_3,0,0,0,3600,0,100.0,28.8,29.7,200.0,29.9,30.1,,,,,,,,,,,,